ticker,name,objective,debt_ratio,investment_ratio,income_ratio,illiquid_assets_ratio,net_liquid_assets,share_price,shariah_status,note
AABS,Al-Abbas Sugar Mills Ltd,Compliant,22.66%,53.64%,2.46%,30.53%,238.97,1040.47,Non-Compliant,1
AASM,Al-Abid Silk Mills Limited,Compliant,34.98%,0.00%,4.31%,92.36%,(159.13),0.00,Compliant,
AATM,Ali Asghar Textile Mills Limited,Compliant,7.71%,20.27%,44.06%,76.08%,4.59,43.00,Non-Compliant,
ABOT,Abbott Lab (Pakistan) Ltd,Compliant,1.04%,0.00%,0.63%,61.42%,29.33,1050.14,Compliant,
ACPL,Attock Cement Pakistan Ltd,Compliant,25.04%,5.38%,0.06%,84.92%,(143.92),0.00,Compliant,
ADAMS,Adam Sugar Mills Ltd,Compliant,8.65%,0.18%,0.01%,88.96%,(144.14),0.00,Compliant,1
ADMM,Artistic Denim Mills Ltd,Compliant,42.96%,0.00%,0.07%,80.18%,(141.72),0.00,Non-Compliant,
AGHA,Agha Steel Ind,Compliant,48.50%,0.00%,0.08%,90.96%,(48.39),0.00,Non-Compliant,
AGIL,Agriauto Industries Ltd,Compliant,10.01%,0.74%,0.05%,71.96%,(23.75),0.00,Compliant,
AGL,Agritech Limited,Compliant,61.38%,7.49%,6.80%,85.48%,(100.84),0.00,Non-Compliant,
AGP,AGP Limited,Compliant,7.27%,0.05%,0.19%,85.99%,(37.26),0.00,Compliant,
AGSML,Abdullah Shah Ghazi Sugar Mills,Compliant,43.77%,0.00%,0.00%,99.68%,(53.51),0.00,Non-Compliant,1
AGTL,Al-Ghazi Tractors Ltd,Compliant,0.21%,0.00%,0.36%,45.92%,32.07,400.66,Compliant,
AHCL,Arif Habib Corporation Ltd,Compliant,8.86%,4.14%,21.39%,76.22%,(17.83),0.00,Non-Compliant,
AHTM,Ahmed Hassan Textile Mills Ltd,Compliant,13.06%,0.00%,0.00%,81.67%,(145.89),0.00,Compliant,
AIRLINK,Air Link Communication Limited,Compliant,32.66%,6.44%,0.38%,53.65%,(40.00),0.00,Compliant,
AKDHL,AKD Hospitality Limited (AKD Capital),Compliant,0.00%,62.08%,28.27%,5.15%,19.59,178.59,Non-Compliant,
AKGL,AL-Khair Gadoon Ltd,Compliant,23.18%,0.00%,0.04%,76.39%,(16.19),0.00,Compliant,
ALNRS,Al-Noor Sugar Mills Ltd,Compliant,8.82%,0.02%,0.05%,91.46%,(379.13),0.00,Compliant,1
ALTN,Altern Energy Ltd,Compliant,0.00%,81.70%,0.46%,3.48%,26.16,11.76,Non-Compliant,
AMTEX,Amtex Limited,Compliant,249.02%,0.00%,0.07%,72.74%,(42.71),0.00,Non-Compliant,
ANL,Azgard Nine Ltd,Compliant,27.24%,2.00%,0.00%,65.43%,(8.47),0.00,Compliant,
ANSM,Ansari Sugar Mills Ltd,Compliant,64.99%,0.00%,0.00%,89.13%,(184.63),0.00,Non-Compliant,1
ANTM,AN Textile Mills Ltd,Compliant,20.53%,0.00%,0.00%,83.28%,(96.62),0.00,Compliant,
APL,Attock Petroleum Ltd,Compliant,8.34%,35.90%,1.18%,49.74%,40.39,545.56,Non-Compliant,
ARCTM,Arctic Textile Mills Limited,Compliant,0.00%,0.00%,0.03%,76.59%,(12.99),0.00,Compliant,
ARMG,ARM Green Industries Limited (Calcorp Limited),Compliant,0.00%,0.00%,95.22%,34.88%,10.95,59.28,Non-Compliant,
ARPL,Archroma Pakistan Ltd,Compliant,1.30%,0.00%,0.00%,49.06%,(96.91),0.00,Compliant,1
ARUJ,Aruj Industries Ltd,Compliant,67.83%,0.00%,0.00%,46.39%,(5.27),0.00,Non-Compliant,
ASC,Al Shaheer Corporation Ltd,Compliant,0.00%,0.00%,0.00%,89.77%,(10.99),0.00,Compliant,
